DateTime,High,Low,Open,Close,TotalVolume,PeriodVolume,Unknown
2024-03-01 11:27:00,137.7850,137.7250,137.7600,137.7801,10541637,29441,0
2024-03-01 11:26:00,137.8500,137.7500,137.8100,137.7600,10505611,27866,0
2024-03-01 11:25:00,137.8400,137.7450,137.7600,137.8050,10470685,41415,0
2024-03-01 11:24:00,137.7500,137.6000,137.6550,137.7500,10420418,30493,0
2024-03-01 11:23:00,137.7400,137.6400,137.7200,137.6500,10380964,38848,0
2024-03-01 11:22:00,137.7400,137.6500,137.6650,137.7350,10330809,33418,0
2024-03-01 11:21:00,137.6650,137.5400,137.5700,137.6600,10288315,48637,0
2024-03-01 11:20:00,137.6150,137.5100,137.5250,137.5600,10227660,48788,0
2024-03-01 11:19:00,137.5300,137.4200,137.4200,137.5273,10165472,42289,0
2024-03-01 11:18:00,137.4300,137.3450,137.3500,137.4050,10114508,79364,0
2024-03-01 11:17:00,137.4450,137.3400,137.4450,137.3450,10022611,40890,0
2024-03-01 11:16:00,137.4800,137.4400,137.4700,137.4450,9970143,25638,0
2024-03-01 11:15:00,137.5000,137.4450,137.4500,137.4618,9936408,30400,0
2024-03-01 11:14:00,137.5000,137.4100,137.4800,137.4400,9897243,26806,0
2024-03-01 11:13:00,137.5000,137.4650,137.5000,137.4756,9861247,19684,0
2024-03-01 11:12:00,137.5559,137.4800,137.5559,137.5050,9829895,27155,0
2024-03-01 11:11:00,137.5600,137.4650,137.5200,137.5500,9796383,47723,0
2024-03-01 11:10:00,137.5700,137.5300,137.5600,137.5350,9737244,82172,0
2024-03-01 11:09:00,137.6300,137.5500,137.6185,137.5500,9643633,56501,0
2024-03-01 11:08:00,137.6400,137.6000,137.6100,137.6000,9576678,39404,0
2024-03-01 11:07:00,137.6200,137.5601,137.5850,137.6000,9527198,111268,0
2024-03-01 11:06:00,137.6399,137.5250,137.5300,137.5900,9408545,56504,0
2024-03-01 11:05:00,137.5250,137.4200,137.4500,137.5250,9342756,46558,0
2024-03-01 11:04:00,137.4800,137.4400,137.4500,137.4500,9286388,52896,0
2024-03-01 11:03:00,137.4750,137.4300,137.4450,137.4500,9223547,24660,0
2024-03-01 11:02:00,137.5060,137.4150,137.4200,137.4287,9190731,67455,0
2024-03-01 11:01:00,137.4700,137.4100,137.4200,137.4300,9111303,41692,0
2024-03-01 11:00:00,137.4750,137.3700,137.4000,137.4200,9061931,65429,0
2024-03-01 10:59:00,137.4550,137.3900,137.3900,137.4000,8982421,44221,0
2024-03-01 10:58:00,137.4300,137.3500,137.4100,137.3900,8928587,34585,0
2024-03-01 10:57:00,137.4700,137.4000,137.4000,137.4300,8884511,40550,0
2024-03-01 10:56:00,137.5100,137.3950,137.4400,137.3950,8833011,55028,0
2024-03-01 10:55:00,137.4400,137.3950,137.4200,137.4400,8766010,53175,0
2024-03-01 10:54:00,137.4700,137.3550,137.3550,137.4300,8699257,33830,0
2024-03-01 10:53:00,137.4500,137.3450,137.3500,137.3600,8657658,52829,0
2024-03-01 10:52:00,137.3800,137.2500,137.2900,137.3500,8573083,55148,0
2024-03-01 10:51:00,137.3900,137.2600,137.3300,137.2900,8502033,57107,0
2024-03-01 10:50:00,137.4700,137.2400,137.4000,137.3300,8426656,224055,0
2024-03-01 10:49:00,137.4650,137.3750,137.4200,137.4000,8170518,62781,0
2024-03-01 10:48:00,137.5000,137.4000,137.4950,137.4200,8092895,50487,0
2024-03-01 10:47:00,137.5800,137.4700,137.5750,137.4900,8031101,128945,0
2024-03-01 10:46:00,137.6700,137.5000,137.5000,137.5700,7884633,54319,0
2024-03-01 10:45:00,137.5200,137.4750,137.4850,137.5000,7811195,75967,0
2024-03-01 10:44:00,137.5100,137.4524,137.4524,137.4900,7720910,42361,0
2024-03-01 10:43:00,137.5100,137.4500,137.4700,137.4550,7670409,53653,0
2024-03-01 10:42:00,137.5784,137.4600,137.5784,137.4800,7564456,74232,0
2024-03-01 10:41:00,137.6100,137.5700,137.6000,137.5700,7469337,77839,0
2024-03-01 10:40:00,137.6400,137.5800,137.6400,137.6000,7378194,66106,0
2024-03-01 10:39:00,137.7350,137.6350,137.7350,137.6400,7296757,55483,0
2024-03-01 10:38:00,137.7600,137.6700,137.7400,137.7200,7229315,33005,0
2024-03-01 10:37:00,137.7700,137.6650,137.7050,137.7402,7186751,42919,0
2024-03-01 10:36:00,137.7600,137.6800,137.7100,137.7050,7131438,37150,0
2024-03-01 10:35:00,137.7250,137.6217,137.6950,137.7004,7047743,43080,0
2024-03-01 10:34:00,137.7550,137.6000,137.6800,137.6950,6990129,33236,0
2024-03-01 10:33:00,137.7490,137.6600,137.6600,137.6800,6944186,37962,0
2024-03-01 10:32:00,137.7000,137.5550,137.6100,137.6612,6896288,61238,0
